TrialLabel,Syl1,Syl2,Syl3,Syl4,VoicingA,VoicingB,Pair Status,Pair Number,Order,Ordering,POA,Script1,Script2
pdn08ABBAb,T.UW.P,D.UW.P,D.UW.P,T.UW.P,voiced,voiceless,noMinPair,8,ABBA,b,alveolar,179,83
pdn09ABABa,G.AE.S,K.AE.S,G.AE.S,K.AE.S,voiced,voiceless,noMinPair,9,ABAB,a,velar,12,108
pdn09ABABb,K.AE.S,G.AE.S,K.AE.S,G.AE.S,voiced,voiceless,noMinPair,9,ABAB,b,velar,79,175
pdn09ABBAa,G.AE.S,K.AE.S,K.AE.S,G.AE.S,voiced,voiceless,noMinPair,9,ABBA,a,velar,149,53
pdn09ABBAb,K.AE.S,G.AE.S,G.AE.S,K.AE.S,voiced,voiceless,noMinPair,9,ABBA,b,velar,132,36
pdn10ABABa,G.UW.S,K.UW.S,G.UW.S,K.UW.S,voiced,voiceless,noMinPair,10,ABAB,a,velar,21,117
pdn10ABABb,K.UW.S,G.UW.S,K.UW.S,G.UW.S,voiced,voiceless,noMinPair,10,ABAB,b,velar,61,157
pdn10ABBAa,G.UW.S,K.UW.S,K.UW.S,G.UW.S,voiced,voiceless,noMinPair,10,ABBA,a,velar,163,67
pdn10ABBAb,K.UW.S,G.UW.S,G.UW.S,K.UW.S,voiced,voiceless,noMinPair,10,ABBA,b,velar,118,22
pdn11ABABa,G.IH.F.T,K.IH.F.T,G.IH.F.T,K.IH.F.T,voiced,voiceless,noMinPair,11,ABAB,a,velar,87,183
pdn11ABABb,K.IH.F.T,G.IH.F.T,K.IH.F.T,G.IH.F.T,voiced,voiceless,noMinPair,11,ABAB,b,velar,48,144
pdn11ABBAa,G.IH.F.T,K.IH.F.T,K.IH.F.T,G.IH.F.T,voiced,voiceless,noMinPair,11,ABBA,a,velar,110,14
pdn11ABBAb,K.IH.F.T,G.IH.F.T,G.IH.F.T,K.IH.F.T,voiced,voiceless,noMinPair,11,ABBA,b,velar,191,95
pdn12ABABa,G.EY.T,K.EY.T,G.EY.T,K.EY.T,voiced,voiceless,noMinPair,12,ABAB,a,velar,33,129
pdn12ABABb,K.EY.T,G.EY.T,K.EY.T,G.EY.T,voiced,voiceless,noMinPair,12,ABAB,b,velar,77,173
pdn12ABBAa,G.EY.T,K.EY.T,K.EY.T,G.EY.T,voiced,voiceless,noMinPair,12,ABBA,a,velar,148,52
pdn12ABBAb,K.EY.T,G.EY.T,G.EY.T,K.EY.T,voiced,voiceless,noMinPair,12,ABBA,b,velar,112,16
psm01ABABa,P.AH.NG.K,B.AH.NG.K,P.AH.NG.K,B.AH.NG.K,voiceless,voiced,minPair,1,ABAB,a,labial,65,161
psm01ABABb,B.AH.NG.K,P.AH.NG.K,B.AH.NG.K,P.AH.NG.K,voiceless,voiced,minPair,1,ABAB,b,labial,10,106
